,R,name,last_match
5859,1393.5088190296017,Martinique,2026-03-29 19:00:00
7724,1393.1940385109597,Trinidad and Tobago,2026-06-09 17:00:00
8566,1391.583613103214,Azerbaijan,2026-09-23 16:00:00
68374,1391.1882622308806,Mauritania,2026-09-24 16:00:00
5809,1390.8735657012414,Madagascar,2026-09-25 16:00:00
5788,1390.0299806319006,Thailand,2026-06-09 11:35:00
5965,1385.4477943129232,Mozambique,2026-09-25 13:00:00
6324,1381.6549573450395,Indonesia,2026-06-09 13:00:00
7740,1379.7934489487802,Togo,2026-09-25 16:00:00
6327,1377.114478827039,El Salvador,2026-06-06 20:00:00
6328,1376.2071579423848,Libya,2026-09-24 16:00:00
6330,1373.029067356225,North Korea,2025-06-10 16:00:00
5805,1372.2808966645798,Sudan,2026-09-25 13:00:00
5793,1371.6688093678347,Cyprus,2026-09-25 18:45:00
5901,1368.3873518982432,Bahrain,2026-06-05 16:00:00
8254,1357.8976583048857,Lithuania,2026-09-24 18:45:00
8495,1357.5019197873382,Malta,2026-09-24 16:00:00
5897,1352.7605292100548,Lebanon,2025-09-08 13:30:00
5884,1348.893200053861,Kenya,2026-09-26 13:00:00
7941,1336.0876455734867,Tanzania,2026-09-25 13:00:00
8323,1333.35634383135,Equatorial Guinea,2026-09-24 16:00:00
5885,1333.3298922050044,Rwanda,2026-09-25 16:00:00
5795,1330.6818250812576,Latvia,2026-09-25 16:00:00
5802,1324.3400770380003,Namibia,2026-09-24 13:00:00
5893,1321.1040966492951,Kyrgyzstan,2026-06-09 14:30:00
5803,1318.77943413357,Sierra Leone,2026-09-24 19:00:00
6020,1313.9934875428269,Malawi,2026-09-25 16:00:00
5898,1311.9722210157422,Tajikistan,2026-09-23 16:00:00
230700,1304.338014741186,Guinea-Bissau,2026-09-25 13:00:00
5794,1302.5073477261387,Moldova,2026-06-09 15:00:00
5804,1293.034303354511,Liberia,2026-09-25 16:00:00
5821,1289.1549216516646,Kuwait,2026-09-18 16:30:00
121284,1286.8746428930476,Burundi,2026-09-25 16:00:00
5807,1283.4202557815267,Nicaragua,2026-06-05 22:45:00
121282,1274.5971832381997,Ethiopia,2026-09-25 13:00:00
5887,1274.3557107703434,Botswana,2026-09-24 16:00:00
5894,1272.0719350437316,Vietnam,2026-07-18 12:00:00
5757,1262.274471656885,Guadeloupe,2025-06-24 23:00:00
101595,1252.6365135171482,New Caledonia,2026-09-24 07:00:00
4167,1248.9912356370703,Lesotho,2026-09-25 15:00:00
5943,1226.8026403214149,Bermuda,2026-06-06 20:00:00
262134,1218.5292494006505,Dominican Republic,2026-06-04 00:45:00
5823,1216.741187376363,Malaysia,2025-09-08 13:00:00
230693,1209.5718919056694,Central African Republic,2026-09-24 16:00:00
