league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps
Belgium,2425,4499628,2024-07-26,8203,8342,0,1,0.5633094105869532,0.43025053702294824,0,5,0.0,0.659304812547464,1.5323741769375145,0.659304812547464,5.0,0.1318609625094928
Belgium,2425,4499628,2024-07-26,8342,8203,1,1,1.930068857036531,1.692036916129291,0,27,0.0,2.5928336767015128,1.5323741769375145,2.5928336767015128,27.0,0.09603087691487085
Belgium,2425,4499619,2024-07-27,1773,583877,0,0,0.5897177923470736,0.5897177923470736,0,9,0.0,0.903668316673255,1.5323741769375145,0.903668316673255,9.0,0.10040759074147278
Belgium,2425,4499619,2024-07-27,583877,1773,1,0,0.11374013870954514,0.11374013870954514,0,1,0.0,0.17429245143979796,1.5323741769375145,0.17429245143979796,1.0,0.17429245143979796
Belgium,2425,4499620,2024-07-27,9997,8635,0,0,0.057880694046616554,0.057880694046616554,0,2,0.0,0.08869488090025614,1.5323741769375145,0.08869488090025614,2.0,0.04434744045012807
Belgium,2425,4499620,2024-07-27,8635,9997,1,1,1.0650231335312128,0.7768757719546556,0,11,0.0,1.1904643716317116,1.5323741769375145,1.1904643716317116,11.0,0.10822403378470105
Belgium,2425,4499633,2024-07-27,7978,7947,0,0,0.7956138923764229,0.7956138923764229,0,12,0.0,1.2191781834903732,1.5323741769375145,1.2191781834903732,12.0,0.1015981819575311
Belgium,2425,4499633,2024-07-27,7947,7978,1,0,0.4344227872788906,0.4344227872788906,0,5,0.0,0.665698261099391,1.5323741769375145,0.665698261099391,5.0,0.1331396522198782
Belgium,2425,4499621,2024-07-28,9985,9987,0,0,0.08957004267722368,0.08957004267722368,0,4,0.0,0.1372548204257687,1.5323741769375145,0.1372548204257687,4.0,0.034313705106442174
Belgium,2425,4499621,2024-07-28,9987,9985,1,0,1.8445770349353552,1.0201843593269586,0,20,0.0,1.5633041679481738,1.5323741769375145,1.5633041679481738,20.0,0.07816520839740869
Belgium,2425,4499622,2024-07-28,9991,8571,0,1,0.6991483401507139,0.5755174588412046,0,8,0.0,0.8819080923049609,1.5323741769375145,0.8819080923049609,8.0,0.11023851153812012
Belgium,2425,4499622,2024-07-28,8571,9991,1,0,1.1804898707196116,0.8248781589791179,0,15,0.0,1.264021989939358,1.5323741769375145,1.264021989939358,15.0,0.08426813266262387
Belgium,2425,4499623,2024-07-28,9988,9986,0,1,1.8073442075401545,0.8503179866820574,0,12,0.0,1.303005324977082,1.5323741769375145,1.303005324977082,12.0,0.10858377708142351
Belgium,2425,4499623,2024-07-28,9986,9988,1,0,0.7793604927137494,0.7793604927137494,0,11,0.0,1.1942718935598475,1.5323741769375145,1.1942718935598475,11.0,0.10857017214180432
Belgium,2425,4499624,2024-07-28,9984,10001,0,0,0.8006354356184602,0.6647823819890618,0,12,0.0,1.018695355443049,1.5323741769375145,1.018695355443049,12.0,0.08489127962025407
Belgium,2425,4499624,2024-07-28,10001,9984,1,3,2.173682250082493,0.7049974650144577,0,10,0.0,1.0803199101945637,1.5323741769375145,1.0803199101945637,10.0,0.10803199101945637
Belgium,2425,4499625,2024-08-02,583877,7978,0,1,0.49543572776019573,0.3156672786921263,0,6,0.0,0.4837203863719521,1.5323741769375145,0.4837203863719521,6.0,0.08062006439532535
Belgium,2425,4499625,2024-08-02,7978,583877,1,3,1.8065753877162933,0.6246908634901047,0,10,0.0,0.9572601477810345,1.5323741769375145,0.9572601477810345,10.0,0.09572601477810345
Belgium,2425,4499618,2024-08-03,9986,9997,0,4,2.1741210939362645,1.2197401942685246,1,18,0.0,1.8690983762698345,1.5323741769375145,2.1190983762698345,19.0,0.11153149348788603
Belgium,2425,4499618,2024-08-03,9997,9986,1,1,0.294414684176445,0.294414684176445,0,7,0.0,0.4511534593431982,1.5323741769375145,0.4511534593431982,7.0,0.06445049419188546
Belgium,2425,4499626,2024-08-03,10001,8203,0,4,1.7752051730640233,1.1759969082660973,1,20,0.0,1.8020672943853226,1.5323741769375145,2.0520672943853224,21.0,0.09771749020882488
Belgium,2425,4499626,2024-08-03,8203,10001,1,2,0.6090718759223819,0.6090718759223819,1,11,0.0,0.9333260145623479,1.5323741769375145,1.1833260145623479,12.0,0.09861050121352899
Belgium,2425,4499627,2024-08-03,9987,1773,0,1,2.4217421719804406,1.4195936003699898,0,18,0.0,2.175348574952726,1.5323741769375145,2.175348574952726,18.0,0.12085269860848477
Belgium,2425,4499627,2024-08-03,1773,9987,1,3,1.5090158134698868,1.1109880819916724,0,11,0.0,1.702449447729377,1.5323741769375145,1.702449447729377,11.0,0.15476813161176153
Belgium,2425,4499629,2024-08-04,8635,9988,0,2,0.7587648052722216,0.6407449942082166,0,10,0.0,0.9818610831266484,1.5323741769375145,0.9818610831266484,10.0,0.09818610831266485
Belgium,2425,4499629,2024-08-04,9988,8635,1,1,2.653821905143559,2.0479495832696557,0,29,0.0,3.1382250570723644,1.5323741769375145,3.1382250570723644,29.0,0.10821465714042636
Belgium,2425,4499630,2024-08-04,8571,9984,0,2,1.7136775627732277,1.0026856146752834,0,11,0.0,1.5364895435151231,1.5323741769375145,1.5364895435151231,11.0,0.13968086759228393
Belgium,2425,4499630,2024-08-04,9984,8571,1,1,2.5024541839957237,1.8997741907835008,0,23,0.0,2.9111649119689997,1.5323741769375145,2.9111649119689997,23.0,0.12657238747691305
Belgium,2425,4499631,2024-08-04,8342,9985,0,0,0.9478488098829985,0.9478488098829985,0,16,0.0,1.4524590399056625,1.5323741769375145,1.4524590399056625,16.0,0.0907786899941039
Belgium,2425,4499631,2024-08-04,9985,8342,1,1,0.6780453585088253,0.5535140797495842,0,10,0.0,0.8481906823795949,1.5323741769375145,0.8481906823795949,10.0,0.0848190682379595
Belgium,2425,4499632,2024-08-04,7947,9991,0,2,1.1447561029344797,1.0342228274792433,0,17,0.0,1.5848163540284945,1.5323741769375145,1.5848163540284945,17.0,0.09322449141344086
Belgium,2425,4499632,2024-08-04,9991,7947,1,1,1.1392650296911597,0.830672993324697,0,15,0.0,1.272901844450154,1.5323741769375145,1.272901844450154,15.0,0.08486012296334361
Belgium,2425,4499634,2024-08-09,8203,9985,0,0,0.5199599992483854,0.39897036738693714,0,9,0.0,0.6113718883470156,1.5323741769375145,0.6113718883470156,9.0,0.06793020981633507
Belgium,2425,4499634,2024-08-09,9985,8203,1,0,0.6985886096954346,0.6985886096954346,0,17,0.0,1.0704991457999642,1.5323741769375145,1.0704991457999642,17.0,0.06297053798823318
Belgium,2425,4499609,2024-08-10,1773,8635,0,1,0.7429689206182957,0.5586271904408932,0,10,0.0,0.8560258811667798,1.5323741769375145,0.8560258811667798,10.0,0.08560258811667798
Belgium,2425,4499609,2024-08-10,8635,1773,1,1,1.500832392834127,1.1381064405664802,0,18,0.0,1.7440049201303445,1.5323741769375145,1.7440049201303445,18.0,0.09688916222946359
Belgium,2425,4499635,2024-08-10,8571,7947,0,1,0.7984550381079316,0.44154897425323725,0,9,0.0,0.6766182459989082,1.5323741769375145,0.6766182459989082,9.0,0.0751798051109898
Belgium,2425,4499635,2024-08-10,7947,8571,1,4,1.4944229666143656,0.9446616683155298,0,12,0.0,1.4475751464694293,1.5323741769375145,1.4475751464694293,12.0,0.12063126220578578
Belgium,2425,4499636,2024-08-10,7978,10001,0,3,2.3981852158904076,0.8040150664746762,0,14,-0.02075,1.232051925734493,1.5323741769375145,1.211301925734493,14.2075,0.08525792192394813
Belgium,2425,4499636,2024-08-10,10001,7978,1,4,3.7970436438918114,1.602959007024765,0,23,0.0415,2.45633298905415,1.5323741769375145,2.49783298905415,23.415,0.10667661708537904
Belgium,2425,4499600,2024-08-11,8342,9987,0,2,2.0654773619025946,0.9007073920220137,0,17,0.0,1.3802207485112685,1.5323741769375145,1.3802207485112685,17.0,0.0811894557947805
Belgium,2425,4499600,2024-08-11,9987,8342,1,3,1.6054016817361116,0.9119855407625437,1,13,0.0,1.397503092404917,1.5323741769375145,1.647503092404917,14.0,0.11767879231463693
Belgium,2425,4499601,2024-08-11,9997,9988,0,1,1.2487690020352602,1.05262317545712,0,15,0.0,1.6130125721164572,1.5323741769375145,1.6130125721164572,15.0,0.10753417147443048
Belgium,2425,4499601,2024-08-11,9988,9997,1,6,2.1113489363342524,1.5086980488151314,0,20,0.0,2.311889930800321,1.5323741769375145,2.311889930800321,20.0,0.11559449654001605
Belgium,2425,4499602,2024-08-11,9991,9986,0,0,0.7106208633631468,0.39722782038152216,0,7,0.0,0.6087016543138178,1.5323741769375145,0.6087016543138178,7.0,0.08695737918768827
Belgium,2425,4499602,2024-08-11,9986,9991,1,1,2.2462797686457634,1.509788379818201,0,17,0.0,2.313560725873739,1.5323741769375145,2.313560725873739,17.0,0.1360918074043376
Belgium,2425,4499603,2024-08-11,583877,9984,0,1,1.0509326420724392,0.309912920743227,0,4,0.0,0.4749025568462037,1.5323741769375145,0.4749025568462037,4.0,0.11872563921155092
Belgium,2425,4499603,2024-08-11,9984,583877,1,4,3.7515473384410143,1.588016438856721,0,22,0.0,2.433435383456311,1.5323741769375145,2.433435383456311,22.0,0.11061069924801413
Belgium,2425,4499604,2024-08-16,9986,7978,0,0,0.15627519134432077,0.15627519134432077,0,6,0.0,0.23947206771200613,1.5323741769375145,0.23947206771200613,6.0,0.03991201128533436
Belgium,2425,4499604,2024-08-16,7978,9986,1,1,1.0269301068037748,0.9097172956913709,1,17,0.0,1.394027292230886,1.5323741769375145,1.644027292230886,18.0,0.09133484956838256
Belgium,2425,4499605,2024-08-17,9987,583877,0,4,1.608697883784771,0.7906380459666252,1,10,-0.083,1.2115533249435921,1.5323741769375145,1.3785533249435922,11.83,0.11653028951340594
Belgium,2425,4499605,2024-08-17,583877,9987,1,3,0.95124885533005,0.95124885533005,1,13,0.166,1.4576691817491383,1.5323741769375145,1.8736691817491382,15.66,0.11964681875792708
Belgium,2425,4499606,2024-08-17,7947,9997,0,3,0.9117234752047807,0.7858655684161931,0,13,0.0,1.204240103585296,1.5323741769375145,1.204240103585296,13.0,0.09263385412194586
Belgium,2425,4499606,2024-08-17,9997,7947,1,3,1.7516501620411873,0.7178377941250801,0,11,0.0,1.0999960989470605,1.5323741769375145,1.0999960989470605,11.0,0.09999964535882368
Belgium,2425,4499607,2024-08-17,8635,8203,0,3,2.650110837072134,0.7506824329495431,0,11,0.0,1.150326375332507,1.5323741769375145,1.150326375332507,11.0,0.10457512503022791
Belgium,2425,4499607,2024-08-17,8203,8635,1,1,2.004208461381495,1.3181299114599823,0,22,0.0,2.019868238170209,1.5323741769375145,2.019868238170209,22.0,0.09181219264410041
Belgium,2425,4499599,2024-08-18,9984,1773,0,1,0.5984883224591613,0.5984883224591613,0,11,0.2739,0.917108050535071,1.5323741769375145,1.191008050535071,13.738999999999999,0.08668811780588626
Belgium,2425,4499599,2024-08-18,1773,9984,1,1,2.1798671782016754,0.825412680208683,0,12,-0.13695,1.2648410764685685,1.5323741769375145,1.1278910764685686,13.3695,0.08436299610819915
Belgium,2425,4499608,2024-08-18,9988,8342,0,0,1.4902032911777496,0.8655937150120735,0,13,0.0,1.3264134566039116,1.5323741769375145,1.3264134566039116,13.0,0.10203180435414705
