league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps,sf_wf,md_wf
Bundesliga,2122,3624340,2021-08-13,9823,9788,0,1,2.5886189349999995,2.011794365,0,21,0.0,2.011794365,1.620459169663954,2.011794365,21.0,0.09579973166666667,1.0,0.0
Bundesliga,2122,3624340,2021-08-13,9788,9823,1,1,2.2987467710000002,0.704666056,0,11,0.0,0.704666056,1.620459169663954,0.704666056,11.0,0.06406055054545455,1.0,0.0
Bundesliga,2122,3624342,2021-08-14,8358,9912,0,0,1.5883729130000002,1.1189333854999999,0,15,0.0,2.0131479234208864,1.620459169663954,2.0131479234208864,15.0,0.13420986156139242,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624342,2021-08-14,9912,8358,1,0,0.4177021589999999,0.4177021589999999,0,10,0.0,0.7515159033560456,1.620459169663954,0.7515159033560456,10.0,0.07515159033560456,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624343,2021-08-14,8226,8406,0,4,3.8305182180000004,1.2837431655,0,15,0.0,2.30966822629682,1.620459169663954,2.30966822629682,15.0,0.15397788175312133,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624343,2021-08-14,8406,8226,1,0,0.6248352549999999,0.49534619694999993,0,7,0.0,0.8912104873148643,1.620459169663954,0.8912104873148643,7.0,0.12731578390212347,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624345,2021-08-14,8357,10269,0,1,1.163738499,0.49178271110000005,0,8,0.0,0.8847991814837657,1.620459169663954,0.8847991814837657,8.0,0.11059989768547071,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624345,2021-08-14,10269,8357,1,5,3.1091944309999997,2.7052450720000003,0,33,0.0,4.867187421177708,1.620459169663954,4.867187421177708,33.0,0.147490527914476,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624346,2021-08-14,8178,8149,0,1,0.827506629,0.827506629,0,16,0.0,1.4888225459855744,1.620459169663954,1.4888225459855744,16.0,0.0930514091240984,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624346,2021-08-14,8149,8178,1,1,0.47833738800000003,0.47833738800000003,0,8,0.0,0.8606088010471388,1.620459169663954,0.8606088010471388,8.0,0.10757610013089235,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624347,2021-08-14,9911,8721,0,0,0.38856176099999995,0.38856176099999995,0,7,-0.37765,0.6990874634850305,1.620459169663954,0.3214374634850305,10.776499999999999,0.029827630815666546,1.7991669115505953,0.1111111111111111
Bundesliga,2122,3624347,2021-08-14,8721,9911,1,1,1.8215218490000005,1.4945895455000002,1,18,0.7553,2.689016056613043,1.620459169663954,3.6943160566130433,26.552999999999997,0.1391298932931512,1.7991669115505953,0.1111111111111111
