pid,season,name,min,value,box,pm,pir40
P002849,E2017,"MELLI, NICOLO",953.63,4.468315782793776,3.3100263806138384,1.158289402179938,18.041322538422502
P002936,E2017,"SASTRE, JOAN",379.36,-4.533610072675304,-3.1789384124051963,-1.354671660270108,13.035878392352519
P002969,E2017,"MAHMUTOGLU, MELIH",141.95,-5.297966222414098,-5.785917971865232,0.487951749451134,9.294807465005594
P002972,E2017,"ROCHESTIE, TAYLOR",781.3100000000001,-1.3458951435903346,-0.5731766780874183,-0.7727184655029162,21.523503269176683
P002980,E2017,"GIST, JAMES",862.93,1.9166969597396422,0.6899421559730141,1.226754803766628,16.583633977711884
P003024,E2017,"GRANGER, JAYSON",672.17,-2.9624291561042337,-2.8963672827519944,-0.06606187335223934,20.36970960560253
P003034,E2017,"PARAKHOUSKI, ARTSIOM",486.48,3.974914824891274,4.438330536868547,-0.46341571197727277,21.567451006271487
P003048,E2017,"DUNSTON, BRYANT",845.42,2.6735267297225285,3.1969437430453707,-0.5234170133228424,21.54479349512185
P003067,E2017,"JERRELLS, CURTIS",498.34999999999997,-2.657640765773831,-2.5839725822597317,-0.07366818351409898,17.797073061181756
P003120,E2017,"GUDAITIS, ARTURAS",597.09,11.762894921649018,11.640711170964051,0.12218375068496556,28.1296226687488
P003198,E2017,"DIEZ, DANIEL",312.31,-2.149431999004701,-0.4100248597359417,-1.7394071392687591,15.543835138992756
P003210,E2017,"LEKAVICIUS, LUKAS",392.86,-3.0858903000122657,-4.046566765979265,0.9606764659669996,14.870102394509807
P003264,E2017,"JOVANOVIC, NIKOLA",131.12,3.1910392380715726,5.262519418429431,-2.071480180357858,18.556934346478467
P003443,E2017,"WEEMS, SONNY",182.44,-6.743108950410225,-3.9237552618734033,-2.819353688536821,17.734310530229795
P003469,E2017,"VEZENKOV, SASHA",151.9,2.0608136720217436,1.76292098695046,0.29789268507128336,17.661288869226293
P003479,E2017,"KUZMIC, OGNJEN",9.54,0.13309559652362016,-0.01968120778949284,0.152776804313113,16.148244167957856
P003514,E2017,"DRAGIC, ZORAN",392.82,-4.555843398670583,-5.1111911507637595,0.5553477520931763,14.465481648792872
P003515,E2017,"MURIC, EDO",113.75,-4.570489664670744,-4.900027155256093,0.32953749058534937,7.9011867422601325
P003521,E2017,"BALBAY, DOGUS",264.12,-2.9830373413981235,-1.167606461650401,-1.8154308797477223,10.350649967478038
P003527,E2017,"ABASS, AWUDU",47.59,-2.577313170689656,-1.83847362372716,-0.738839546962496,13.611211234894663
P003537,E2017,"MANTZARIS, VANGELIS",612.58,-2.4831357703152883,-2.6881569265941683,0.20502115627887976,9.555248065000566
P003540,E2017,"DIOP, ILIMANE",237.85,0.9075722465985958,0.9117760681302074,-0.0042038215316115846,15.772913026959014
P003571,E2017,"KOROBKOV, PAVEL",33.32,-1.2115227235080581,-1.547812279591672,0.3362895560836139,13.867976793865163
P003573,E2017,"ZUBKOV, ANDREY",148.24,-0.2446623505242893,-0.39676214324438674,0.15209979272009744,13.248786118909537
P003608,E2017,"LOJESKI, MATT",504.78000000000003,0.48506512573360805,-1.6100173925519128,2.095082518285521,11.06001962061924
P003703,E2017,"NIKOLIC, ALEKSEJ",354.55,-5.31244462215514,-4.276127226069124,-1.036317396086016,10.931423751310314
P003733,E2017,"ABALDE, ALBERTO",478.52,-0.723326587119046,-2.010540850836842,1.2872142637177961,14.880866117261466
P003842,E2017,"LESSORT, MATHIAS",632.93,1.5934041437920465,2.498583836391549,-0.9051796925995024,19.877585398548433
P003941,E2017,"MILUTINOV, NIKOLA",630.25,6.6549659791107585,5.995190573031675,0.6597754060790838,24.661251168994323
P003945,E2017,"APIC, DRAGAN",16.720000000000002,-2.251825020765812,-1.9116581621035829,-0.3401668586622291,14.1267877498124
P004004,E2017,"GUDURIC, MARKO",597.6,1.9049125612209672,0.7190329303421772,1.18587963087879,17.21456230813948
