comp,utc,home,away,hid,aid,νεκρη,R_home,R_away,val_adj,xg_h_D,xg_a_D,xg_h_A_D,xg_a_A_D,xg_h_AV_D,xg_a_AV_D,val_src,V_h,V_a,Vh_raw,Va_raw,diff,xg_h,xg_a,P1,PX,P2,fair_1,fair_X,fair_2,fair_line,fair_m05,fair_p05,diff_A,xg_h_A,xg_a_A,P1_A,PX_A,P2_A,R_home_A,R_away_A,diff_AV,xg_h_AV,xg_a_AV,P1_AV,PX_AV,P2_AV
NL A,2026-09-28T18:45,Belgium,France,8263,6723,,1911,2031,-56,1.293,1.791,1.047,1.615,1.065,1.782,κληση/κληση,282.3,769.7,282303154,769702173.0,-116,1.26,1.83,20,31,48,4.89,3.2,2.07,+0.25 @1.97,3.91,1.97,-113,1.06,1.61,21,31,48,1963,2136,-169,1.01,1.83,16,28,56
NL A,2026-09-28T18:45,Turkiye,Italy,6595,8204,,1811,1847,-24,1.282,1.279,1.236,1.58,1.252,1.642,κληση/κληση,252.2,385.1,252228689,385136714.0,1,1.28,1.28,32,34,33,3.1,2.92,2.99,+0.00 @2.0,2.81,1.55,-68,1.24,1.57,25,33,42,1797,1925,-92,1.22,1.67,22,32,45
NL B,2026-09-28T18:45,Northern Ireland,Hungary,10259,8565,,1615,1739,-43,1.151,1.612,1.178,1.276,1.165,1.431,κληση/κληση,73.9,160.0,73859574,160000334.0,-108,1.12,1.65,21,32,47,4.72,3.16,2.12,+0.25 @1.93,3.99,1.93,-20,1.18,1.27,30,34,36,1619,1699,-63,1.15,1.45,25,33,42
NL B,2026-09-28T18:45,Romania,Bosnia and Herzegovina,9730,10106,,1619,1619,4,1.416,1.143,1.226,1.162,1.236,1.165,κληση/κληση,65.1,60.8,65147224,60834027.0,64,1.44,1.12,40,34,27,2.5,2.98,3.77,+0.00 @1.67,2.34,1.4,13,1.23,1.16,33,34,32,1592,1639,17,1.24,1.16,34,34,32
NL B,2026-09-28T18:45,Sweden,Poland,8520,8568,,1721,1708,49,1.682,1.163,1.848,1.115,1.975,1.15,κληση/κληση,293.8,122.3,293758267,122304793.0,121,1.72,1.13,47,32,21,2.11,3.17,4.76,-0.75 @2.01,2.01,1.32,146,1.84,1.13,50,31,19,1796,1710,195,2.04,1.09,56,28,16
NL C,2026-09-29T16:00,Finland,Belarus,7871,10057,,1571,1523,47,1.725,1.063,1.8,0.66,1.887,0.729,κληση/κληση,24.3,10.5,24274475,10487155.0,155,1.77,1.01,52,30,18,1.93,3.34,5.48,-0.75 @1.87,1.87,1.26,226,1.78,0.68,60,26,14,1556,1390,273,1.97,0.64,66,23,11
NL C,2026-09-29T16:00,Moldova,Faroe Islands,5794,8269,,1303,1400,30,1.037,1.069,0.981,1.265,1.018,1.131,κληση/κληση,5.3,3.1,5267287,3109737.0,-8,1.03,1.07,31,34,34,3.19,2.93,2.9,+0.00 @2.06,3.05,1.53,-56,0.99,1.26,26,33,41,1272,1388,-27,1.01,1.14,29,34,37
NL A,2026-09-29T18:45,Czechia,England,8496,8491,,1709,1983,-115,0.882,2.287,0.798,2.334,0.866,2.645,κληση/κληση,97.6,756.6,97607700,756557560.0,-329,0.78,2.39,8,18,74,12.93,5.51,1.35,+1.50 @1.97,9.86,3.52,-305,0.82,2.31,9,20,72,1703,2068,-420,0.74,2.78,5,13,82
NL A,2026-09-29T18:45,Spain,Croatia,6720,10155,,2135,1818,68,2.793,0.891,2.78,0.784,2.876,0.911,κληση/κληση,796.1,238.2,796068562,238203726.0,445,2.93,0.75,83,12,5,1.2,8.24,21.7,-1.50 @1.63,1.25,1.07,396,2.74,0.82,79,15,6,2184,1848,464,3.02,0.77,84,12,4
NL B,2026-09-29T18:45,Scotland,Switzerland,8498,6717,,1714,1874,-29,0.954,1.505,0.931,1.451,0.958,1.52,κληση/κληση,114.1,192.1,114077295,192055383.0,-129,0.91,1.54,19,31,50,5.15,3.26,2.0,+0.25 @2.02,4.63,2.02,-103,0.94,1.44,21,32,47,1719,1882,-133,0.92,1.56,19,30,51
