league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps
Bundesliga,2122,3624340,2021-08-13,9823,9788,0,1,2.5886189349999995,2.011794365,0,21,0.0,3.260030626242522,1.620459169663954,3.260030626242522,21.0,0.15523955363059627
Bundesliga,2122,3624340,2021-08-13,9788,9823,1,1,2.2987467710000002,0.704666056,0,11,0.0,1.1418825719961334,1.620459169663954,1.1418825719961334,11.0,0.10380750654510304
Bundesliga,2122,3624342,2021-08-14,8358,9912,0,0,1.5883729130000002,1.1189333854999999,0,15,0.0,1.8131858647766068,1.620459169663954,1.8131858647766068,15.0,0.12087905765177379
Bundesliga,2122,3624342,2021-08-14,9912,8358,1,0,0.4177021589999999,0.4177021589999999,0,10,0.0,0.6768692937399807,1.620459169663954,0.6768692937399807,10.0,0.06768692937399808
Bundesliga,2122,3624343,2021-08-14,8226,8406,0,4,3.8305182180000004,1.2837431655,0,15,0.0,2.080253384027906,1.620459169663954,2.080253384027906,15.0,0.1386835589351937
Bundesliga,2122,3624343,2021-08-14,8406,8226,1,0,0.6248352549999999,0.49534619694999993,0,7,0.0,0.8026882870057943,1.620459169663954,0.8026882870057943,7.0,0.11466975528654204
Bundesliga,2122,3624345,2021-08-14,8357,10269,0,1,1.163738499,0.49178271110000005,0,8,0.0,0.7969138036841943,1.620459169663954,0.7969138036841943,8.0,0.09961422546052429
Bundesliga,2122,3624345,2021-08-14,10269,8357,1,5,3.1091944309999997,2.7052450720000003,0,33,0.0,4.383739183110624,1.620459169663954,4.383739183110624,33.0,0.13284058130638254
Bundesliga,2122,3624346,2021-08-14,8178,8149,0,1,0.827506629,0.827506629,0,16,0.0,1.3409407049207578,1.620459169663954,1.3409407049207578,16.0,0.08380879405754736
Bundesliga,2122,3624346,2021-08-14,8149,8178,1,1,0.47833738800000003,0.47833738800000003,0,8,0.0,0.7751262065777047,1.620459169663954,0.7751262065777047,8.0,0.09689077582221309
Bundesliga,2122,3624347,2021-08-14,9911,8721,0,0,0.38856176099999995,0.38856176099999995,0,7,-0.37765,0.6296484685932237,1.620459169663954,0.25199846859322367,10.776499999999999,0.0233840735482971
Bundesliga,2122,3624347,2021-08-14,8721,9911,1,1,1.8215218490000005,1.4945895455000002,1,18,0.7553,2.421921333889357,1.620459169663954,3.427221333889357,26.552999999999997,0.12907096500920262
Bundesliga,2122,3624348,2021-08-14,9810,9789,0,2,1.405230232,0.9422128640000001,0,10,0.0,1.5268174752441364,1.620459169663954,1.5268174752441364,10.0,0.15268174752441363
Bundesliga,2122,3624348,2021-08-14,9789,9810,1,5,2.724838583,1.4662075096,0,13,0.0,2.37592940356147,1.620459169663954,2.37592940356147,13.0,0.18276380027395925
Bundesliga,2122,3624341,2021-08-15,8177,8722,0,1,1.8873224230000003,0.86508677185,0,10,0.0,1.4018377919993217,1.620459169663954,1.4018377919993217,10.0,0.14018377919993216
